method,family,transformed_feature,parameter,value
confidence,logistic,confidence_uncertainty,coefficient_standardized,1.207556077728587
semantic_mi,logistic,semantic_mutual_information,coefficient_standardized,0.10682580226394363
predictive_entropy,logistic,semantic_predictive_entropy,coefficient_standardized,0.46098756633315485
box_variance,logistic,box_variance,coefficient_standardized,0.26267388126243146
embedding_variance,logistic,embedding_variance,coefficient_standardized,0.2701097523730887
semantic,logistic,semantic_mutual_information,coefficient_standardized,0.07661233513092522
semantic,logistic,semantic_predictive_entropy,coefficient_standardized,0.3799394766333223
semantic,logistic,class_disagreement,coefficient_standardized,0.31576359898499395
semantic,logistic,score_variance,coefficient_standardized,-0.2095881214209206
geometric,logistic,box_variance,coefficient_standardized,-0.10087716689066967
geometric,logistic,box_mean_pairwise_iou_loss,coefficient_standardized,0.7300404359929852
geometric,logistic,decoder_reference_variance,coefficient_standardized,-0.17805597146943405
geometric,logistic,decoder_reference_step,coefficient_standardized,0.4712530410660506
representation,logistic,embedding_variance,coefficient_standardized,0.11776355100391728
representation,logistic,embedding_cosine_instability,coefficient_standardized,0.1140527686502748
representation,logistic,decoder_hidden_step,coefficient_standardized,0.12605457254829788
presence,logistic,absence_rate,coefficient_standardized,0.15508653751218648
semantic_geometric,logistic,semantic_mutual_information,coefficient_standardized,-0.16816474036751888
semantic_geometric,logistic,semantic_predictive_entropy,coefficient_standardized,0.2839327184801533
semantic_geometric,logistic,class_disagreement,coefficient_standardized,0.257438627894652
semantic_geometric,logistic,score_variance,coefficient_standardized,-0.2973255456392844
semantic_geometric,logistic,box_variance,coefficient_standardized,-0.11803573568659281
semantic_geometric,logistic,box_mean_pairwise_iou_loss,coefficient_standardized,0.8026228849088698
semantic_geometric,logistic,decoder_reference_variance,coefficient_standardized,-0.1727504385213194
semantic_geometric,logistic,decoder_reference_step,coefficient_standardized,0.47828636247799655
all_internal,logistic,semantic_mutual_information,coefficient_standardized,-0.24161704184599536
all_internal,logistic,semantic_predictive_entropy,coefficient_standardized,0.5052832358677369
all_internal,logistic,class_disagreement,coefficient_standardized,0.2457714050512226
all_internal,logistic,score_variance,coefficient_standardized,-0.49793257619828146
all_internal,logistic,box_variance,coefficient_standardized,-0.08657580239629438
all_internal,logistic,box_mean_pairwise_iou_loss,coefficient_standardized,0.7498574918556961
all_internal,logistic,decoder_reference_variance,coefficient_standardized,-0.20388692189408422
all_internal,logistic,decoder_reference_step,coefficient_standardized,0.5582653047263678
all_internal,logistic,embedding_variance,coefficient_standardized,4.342962506960183
all_internal,logistic,embedding_cosine_instability,coefficient_standardized,-4.108660352358846
all_internal,logistic,decoder_hidden_step,coefficient_standardized,0.38563365835791513
all_internal,logistic,absence_rate,coefficient_standardized,0.06802825528215753
all_internal_rf,random_forest,semantic_mutual_information,feature_importance,0.039715407189236565
all_internal_rf,random_forest,semantic_predictive_entropy,feature_importance,0.08621415373979878
all_internal_rf,random_forest,class_disagreement,feature_importance,0.033230365335611196
all_internal_rf,random_forest,score_variance,feature_importance,0.2476506233672755
all_internal_rf,random_forest,box_variance,feature_importance,0.013285696947390624
all_internal_rf,random_forest,box_mean_pairwise_iou_loss,feature_importance,0.27197627395414464
all_internal_rf,random_forest,decoder_reference_variance,feature_importance,0.009218814634323853
all_internal_rf,random_forest,decoder_reference_step,feature_importance,0.07362900475306376
all_internal_rf,random_forest,embedding_variance,feature_importance,0.08666881813626616
all_internal_rf,random_forest,embedding_cosine_instability,feature_importance,0.07474963185060068
all_internal_rf,random_forest,decoder_hidden_step,feature_importance,0.06318639737497332
all_internal_rf,random_forest,absence_rate,feature_importance,0.0004748127173149977
all_plus_confidence,logistic,confidence_uncertainty,coefficient_standardized,1.3709590775466765
all_plus_confidence,logistic,semantic_mutual_information,coefficient_standardized,-0.06634122992393233
all_plus_confidence,logistic,semantic_predictive_entropy,coefficient_standardized,-0.20096872154203704
all_plus_confidence,logistic,class_disagreement,coefficient_standardized,0.27282428828036615
all_plus_confidence,logistic,score_variance,coefficient_standardized,0.2146992090828895
all_plus_confidence,logistic,box_variance,coefficient_standardized,-0.00872971445181855
all_plus_confidence,logistic,box_mean_pairwise_iou_loss,coefficient_standardized,0.3813819185439108
all_plus_confidence,logistic,decoder_reference_variance,coefficient_standardized,-0.19166723309813685
all_plus_confidence,logistic,decoder_reference_step,coefficient_standardized,0.5648386043390005
all_plus_confidence,logistic,embedding_variance,coefficient_standardized,2.8918901283518403
all_plus_confidence,logistic,embedding_cosine_instability,coefficient_standardized,-3.038113552046376
all_plus_confidence,logistic,decoder_hidden_step,coefficient_standardized,0.3953405199920639
all_plus_confidence,logistic,absence_rate,coefficient_standardized,0.040583950196683066
