method,outcome,status,n,prevalence,AUROC,AUPRC,AURC
all_internal,has_any_error,not_estimable,1992,1.0,,,
all_internal,has_false_negative,ok,1992,0.9703815261044176,0.48548405481950424,0.9700214739188803,0.9699344719410748
all_internal_rf,has_any_error,not_estimable,1992,1.0,,,
all_internal_rf,has_false_negative,ok,1992,0.9703815261044176,0.5190228589967294,0.9723064190405676,0.9694264858706466
all_plus_confidence,has_any_error,not_estimable,1992,1.0,,,
all_plus_confidence,has_false_negative,ok,1992,0.9703815261044176,0.505800240251826,0.9705612298057589,0.9694149443167447
box_variance,has_any_error,not_estimable,1992,1.0,,,
box_variance,has_false_negative,ok,1992,0.9703815261044176,0.46826308451778653,0.9654621182665264,0.9697229675499552
confidence,has_any_error,not_estimable,1992,1.0,,,
confidence,has_false_negative,ok,1992,0.9703815261044176,0.6668303418765947,0.9820858372476357,0.9515440892641142
embedding_variance,has_any_error,not_estimable,1992,1.0,,,
embedding_variance,has_false_negative,ok,1992,0.9703815261044176,0.5428902119301692,0.9756208331156995,0.9692364477719628
geometric,has_any_error,not_estimable,1992,1.0,,,
geometric,has_false_negative,ok,1992,0.9703815261044176,0.5105526668829518,0.9710129860894297,0.9687270149388527
predictive_entropy,has_any_error,not_estimable,1992,1.0,,,
predictive_entropy,has_false_negative,ok,1992,0.9703815261044176,0.4152586214455444,0.9638293044674762,0.9763234907901521
presence,has_any_error,not_estimable,1992,1.0,,,
presence,has_false_negative,ok,1992,0.9703815261044176,0.6342034424403973,0.9786827227118048,0.9604813190912314
representation,has_any_error,not_estimable,1992,1.0,,,
representation,has_false_negative,ok,1992,0.9703815261044176,0.5276771857216762,0.9741529755885014,0.9688245941426583
semantic,has_any_error,not_estimable,1992,1.0,,,
semantic,has_false_negative,ok,1992,0.9703815261044176,0.5657667452892229,0.9753192733237286,0.964500529437612
semantic_geometric,has_any_error,not_estimable,1992,1.0,,,
semantic_geometric,has_false_negative,ok,1992,0.9703815261044176,0.5146825431620297,0.9713648262550245,0.9680365747279258
semantic_mi,has_any_error,not_estimable,1992,1.0,,,
semantic_mi,has_false_negative,ok,1992,0.9703815261044176,0.5505537190807299,0.9774067933973319,0.9665021844874108
