method,AUROC,AUROC_CI_low,AUROC_CI_high,AUPRC,AURC,AURC_CI_low,AURC_CI_high,ECE,ECE_CI_low,ECE_CI_high,Brier,Brier_CI_low,Brier_CI_high,NLL,NLL_CI_low,NLL_CI_high
all_internal_rf,0.8341611781989404,0.8298541851302926,0.838351710953718,0.8547698807352275,0.30411021666152344,0.29821571031722777,0.3102869643186351,0.007825238727842245,0.006376261881654337,0.01221378223811865,0.16190905073346915,0.15975539664422458,0.16408085911000636,0.4907889250825927,0.48555473773166463,0.4962219527505018
all_plus_confidence,0.8249095149925685,0.8205464480083139,0.829050161058826,0.8479789157649242,0.31838992230437535,0.3121382200423209,0.32442066293933103,0.007418428919083945,0.006179001794266859,0.012424585116701812,0.1677816360930283,0.16574268089323646,0.16989420597028876,0.5082406304026373,0.5029731239675586,0.5136065479490102
all_internal,0.7739684462631493,0.7694237778224031,0.7786344472569274,0.8040731134108641,0.36044860073168566,0.35339818753360813,0.36729657486905054,0.006260554751242037,0.005375914555278925,0.011764176272587915,0.19071004580516612,0.1887350824473254,0.19272837823364,0.564518138471689,0.5600404287213767,0.5691387404331485
confidence,0.7737024494047728,0.7683582081414589,0.7787638706076587,0.7834117786759655,0.3486603509348329,0.34224151110923795,0.35526077210604456,0.009551713664665767,0.007644102185351988,0.015135904615799983,0.18804549818744776,0.18589871040217748,0.1902777526259226,0.5606324336324955,0.5550213930515356,0.5660221731066555
semantic_geometric,0.7531039308223653,0.7485341788245893,0.7577400815644055,0.7807069913719189,0.37281569256830366,0.366017437502596,0.37989129216803685,0.008024870121989273,0.007020166801411891,0.013350637800839664,0.19809035844835599,0.19622676067801287,0.19995643521555032,0.5820578715755302,0.578157182664973,0.5862373933880763
geometric,0.7380224166222182,0.732947040071033,0.7428389421460478,0.7570774179320239,0.3688696236550491,0.36196124395904616,0.37617072490564896,0.008043553471605482,0.006689991955445138,0.013106033490315402,0.2006188701676786,0.1987539481262117,0.20253531979884873,0.5876396578347897,0.5832760128624408,0.591924900843683
box_variance,0.6479085254502919,0.6423859316680943,0.6533608561462819,0.6816401503196814,0.44146636568211095,0.43377627466110313,0.44876150715335783,0.005839578630833452,0.005017452812521713,0.011594694733380996,0.22801288906156758,0.2266648605817935,0.22937186970588916,0.6478780985590262,0.644945266260704,0.6508615084433177
embedding_variance,0.637301945763505,0.6316614231365714,0.6429567168438224,0.652551448369592,0.43905555638728877,0.43112347831848735,0.4470766993552212,0.007131347076459944,0.005671033741649394,0.012665287369914685,0.22444976874317543,0.22287024383920695,0.22603734331153674,0.6408964330168079,0.6378677636049942,0.6442422126192373
semantic,0.6361389734209456,0.6301019926785884,0.6419659709857236,0.6917123918676475,0.4484748271144672,0.4409776268192751,0.4559606402984576,0.009835322596429222,0.006516883525323644,0.015333306229216801,0.22731002404364448,0.2258277183726483,0.2287349636491116,0.6475585530281778,0.6439467811176135,0.6512436699187808
predictive_entropy,0.608660291030795,0.6027905439256948,0.6147203799718237,0.6605846453404431,0.4622869694899036,0.4538523875248695,0.4697984621873125,0.008033255359968882,0.006507391000211845,0.014338104228732008,0.23263484592714345,0.23127722592784453,0.2340824464568468,0.6595706039392252,0.6561132649257742,0.6630505930137363
representation,0.5959231767223598,0.5901722764594466,0.6019073885210262,0.6365042365508594,0.5013825349465042,0.49404034485062354,0.5092131555176639,0.002669022181399229,0.002256020202354322,0.008879083739449326,0.23734248250982537,0.2363298237453426,0.23843579561372358,0.6674886715376306,0.665285185532946,0.6697478132868749
semantic_mi,0.5637568379653162,0.5579769537739472,0.5695285293517514,0.5992869504974796,0.5092076431966689,0.5011210423921884,0.517051870876547,0.007588998289320531,0.005375433123987832,0.013150257095696213,0.2408405494319715,0.23980987599418532,0.24189175434327526,0.6758065259070862,0.6732432533857843,0.678414965079228
presence,0.5082695558127884,0.5070749511174085,0.5095811187637976,0.5737855296759634,0.5620888652946946,0.5563057196845411,0.5716461403558714,0.0003648447859739652,0.0004213735398253773,0.0065863011095398695,0.24455908010145114,0.24375949085766002,0.24532262340763508,0.6827895411834465,0.6809126434678285,0.6847278785828792
