family,condition,detections,error_prevalence,false_negatives_at_operating_threshold,images,mean_uncertainty,paired_detections,peak_gpu_memory_bytes,precision_at_operating_threshold,rank_spearman_vs_baseline,recall_at_operating_threshold,total_seconds,uncertainty_auprc,uncertainty_aurc,uncertainty_auroc,COCO_ap_50,COCO_ap_75,COCO_ap_large,COCO_ap_medium,COCO_ap_small,COCO_ar_1,COCO_ar_10,COCO_ar_100,COCO_ar_large,COCO_ar_medium,COCO_ar_small,COCO_images,COCO_map_50_95,COCO_max_detections_per_image,COCO_predictions_at_extraction_threshold,uncertainty_change_lower,uncertainty_change_mean_difference,uncertainty_change_paired_images,uncertainty_change_upper
association_iou,0.20,2507,0.5903470283207021,831,100,0.5649639670441616,2507.0,2030990848,0.409652971679298,0.9504923843499735,0.5527448869752422,450.4989709004294,0.8100892476343152,0.38624296134747477,0.7669945261717414,0.38373212641692866,0.20290657877327337,0.5607565521110732,0.2433279265413153,0.09293620070609475,0.1751429199763231,0.3518020689241692,0.38010771554240463,0.7740250905557028,0.4460417238002483,0.22601230945451856,100,0.22141393939122697,100,20928,-0.0044696360865897535,-0.0017100855361756413,100.0,0.0010334801973381127
association_iou,0.50,2507,0.5903470283207021,831,100,0.5546031720264426,2507.0,2030990848,0.409652971679298,0.9249432229713728,0.5527448869752422,450.1417011002777,0.7981381040585354,0.3917820944475832,0.764047738098371,0.38373212641692866,0.20290657877327337,0.5607565521110732,0.2433279265413153,0.09293620070609475,0.1751429199763231,0.3518020689241692,0.38010771554240463,0.7740250905557028,0.4460417238002483,0.22601230945451856,100,0.22141393939122697,100,20928,-0.01433365442502468,-0.010850731879958797,100.0,-0.007164020779706612
baseline,canonical,2507,0.5903470283207021,831,100,0.5666552914828055,,2030990848,0.409652971679298,,0.5527448869752422,448.17073380062357,0.8095181178368187,0.388341446805121,0.767873496670965,0.38373212641692866,0.20290657877327337,0.5607565521110732,0.2433279265413153,0.09293620070609475,0.1751429199763231,0.3518020689241692,0.38010771554240463,0.7740250905557028,0.4460417238002483,0.22601230945451856,100,0.22141393939122697,100,20928,,,,
corruption,brightness_0.4,2266,0.5728155339805825,890,100,0.5610959325621032,1665.0,2030990848,0.42718446601941745,0.42528403773151674,0.5209903121636168,448.2080655002501,0.788386958335544,0.3661402434774625,0.7635849495090985,0.3708929766507785,0.18932767371180984,0.5518270793119967,0.22300707013597795,0.0938574797341124,0.17211173263195295,0.35039283197537,0.3749632267461149,0.751205495185087,0.4377041508535656,0.2324407868069553,100,0.21453680772788222,100,19185,-0.019207193485361346,-0.008593669940328702,100.0,0.0018652109076882444
corruption,brightness_0.7,2474,0.5937752627324171,853,100,0.5719554660513972,1729.0,2030990848,0.40622473726758285,0.5312992468016047,0.5409041980624327,451.36200339958305,0.8173376564562057,0.3882586504088806,0.7750546112189225,0.37709533751382085,0.1954967775262503,0.5480813051243716,0.24352774008417324,0.09640701515942403,0.1719175150294754,0.36003688693887004,0.3894058112190492,0.7653745913949995,0.4522767139203275,0.2426722593080865,100,0.21835453366455757,100,20607,-0.006387819434565652,0.0012594768209228412,100.0,0.008731789183382483
corruption,gaussian_blur_1,2396,0.580550918196995,853,100,0.5641982944511365,1698.0,2030990848,0.419449081803005,0.46050243059517254,0.5409041980624327,450.2053620000952,0.8072613389412944,0.37578730847181424,0.7713560164669107,0.39470485902244024,0.19416844642341013,0.5576075790535382,0.2545909400288878,0.0977212672207206,0.18764002430584598,0.35740265769676377,0.3836286143019456,0.7707951232441028,0.45517616980757275,0.228953563044141,100,0.22684239767717496,100,20131,-0.009772434368014886,-0.001491433687113231,100.0,0.0076039197263994855
corruption,gaussian_blur_2,1944,0.565843621399177,1014,100,0.5442814363327378,1483.0,2030990848,0.43415637860082307,0.3660462989097142,0.4542518837459634,446.3811577000306,0.795026379320827,0.37612885126996365,0.7564228780697975,0.3298709186050781,0.16605628630215907,0.5469903505360434,0.2111199624561354,0.06957070341208652,0.1612416234331581,0.30439302303148497,0.34530956553517095,0.7535917483876666,0.4365520349205813,0.16844573074150943,100,0.19006012961940422,100,17963,-0.036025308083889464,-0.022822322149841333,100.0,-0.010364476940536778
mc_seed,1000003,2507,0.5903470283207021,831,100,0.5696159632057727,2507.0,2030990848,0.409652971679298,0.8713813559077165,0.5527448869752422,450.45678280002903,0.8078129483614754,0.3921635044954911,0.7669214979341562,0.38373212641692866,0.20290657877327337,0.5607565521110732,0.2433279265413153,0.09293620070609475,0.1751429199763231,0.3518020689241692,0.38010771554240463,0.7740250905557028,0.4460417238002483,0.22601230945451856,100,0.22141393939122697,100,20928,-0.003701290994767971,0.0025500314565813503,100.0,0.008732114000058572
mc_seed,2000003,2507,0.5903470283207021,831,100,0.5700264603624344,2507.0,2030990848,0.409652971679298,0.8642131408062191,0.5527448869752422,451.3927763014217,0.8094350789242866,0.3867708064271352,0.774589462880602,0.38373212641692866,0.20290657877327337,0.5607565521110732,0.2433279265413153,0.09293620070609475,0.1751429199763231,0.3518020689241692,0.38010771554240463,0.7740250905557028,0.4460417238002483,0.22601230945451856,100,0.22141393939122697,100,20928,-0.0036335285699765417,0.003226216775577073,100.0,0.010185867704008115
prompt,synonyms,1749,0.5974842767295597,1154,100,0.6053441116820045,1381.0,2031015424,0.4025157232704403,0.32871594264558796,0.3789020452099031,439.41182210011175,0.8151579299261105,0.3838195577491913,0.78125,0.3009553498522217,0.1380823672921762,0.4255356919362132,0.220842736827091,0.07214122537261178,0.11831992479574321,0.2840084628926247,0.3069793920646407,0.64831654739818,0.41106098368144267,0.16189657534515783,100,0.15701877195704228,100,13889,0.013625318316264998,0.03151580155066849,100.0,0.050153797180502696
