method,parameter,value,parameter_type,selected_regularization
learned_deterministic,deterministic_reference_variance,-0.2597519757535959,standardized_logistic_coefficient,10.0
learned_deterministic,deterministic_reference_step,0.7482132484573423,standardized_logistic_coefficient,10.0
learned_deterministic,deterministic_hidden_step,0.17964391247767383,standardized_logistic_coefficient,10.0
learned_stochastic,stochastic_mutual_information,-0.2754080040683029,standardized_logistic_coefficient,0.1
learned_stochastic,stochastic_predictive_entropy,0.3706243269263452,standardized_logistic_coefficient,0.1
learned_stochastic,stochastic_class_disagreement,0.25136719190721357,standardized_logistic_coefficient,0.1
learned_stochastic,stochastic_score_variance,-0.496971634015498,standardized_logistic_coefficient,0.1
learned_stochastic,stochastic_box_variance,0.014418459935643203,standardized_logistic_coefficient,0.1
learned_stochastic,stochastic_pairwise_iou_loss,0.8172719025754153,standardized_logistic_coefficient,0.1
learned_stochastic,stochastic_embedding_variance,3.533351152422315,standardized_logistic_coefficient,0.1
learned_stochastic,stochastic_embedding_cosine_instability,-3.047225359923141,standardized_logistic_coefficient,0.1
learned_stochastic,stochastic_absence_rate,0.07999463137693642,standardized_logistic_coefficient,0.1
learned_fusion,deterministic_reference_variance,-0.19950678531549498,standardized_logistic_coefficient,10.0
learned_fusion,deterministic_reference_step,0.5957658128104785,standardized_logistic_coefficient,10.0
learned_fusion,deterministic_hidden_step,0.3798755065921348,standardized_logistic_coefficient,10.0
learned_fusion,stochastic_mutual_information,-0.280681326242232,standardized_logistic_coefficient,10.0
learned_fusion,stochastic_predictive_entropy,0.5065911576122307,standardized_logistic_coefficient,10.0
learned_fusion,stochastic_class_disagreement,0.24815474007969898,standardized_logistic_coefficient,10.0
learned_fusion,stochastic_score_variance,-0.47465386303026685,standardized_logistic_coefficient,10.0
learned_fusion,stochastic_box_variance,-0.05626822735874793,standardized_logistic_coefficient,10.0
learned_fusion,stochastic_pairwise_iou_loss,0.7899711199741869,standardized_logistic_coefficient,10.0
learned_fusion,stochastic_embedding_variance,4.034655021313023,standardized_logistic_coefficient,10.0
learned_fusion,stochastic_embedding_cosine_instability,-3.6377191011472156,standardized_logistic_coefficient,10.0
learned_fusion,stochastic_absence_rate,0.07361393328593116,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,deterministic_reference_variance,-0.21419581023706813,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,deterministic_reference_step,0.5968644521120127,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,deterministic_hidden_step,0.4082553614978675,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,stochastic_mutual_information,-0.10203787591945057,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,stochastic_predictive_entropy,-0.18451186182424723,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,stochastic_class_disagreement,0.27507954663404743,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,stochastic_score_variance,0.2293232795314817,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,stochastic_box_variance,0.03689321581641718,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,stochastic_pairwise_iou_loss,0.4247664290229303,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,stochastic_embedding_variance,2.553025442582944,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,stochastic_embedding_cosine_instability,-2.526105832821461,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,stochastic_absence_rate,0.04454603523316136,standardized_logistic_coefficient,10.0
learned_fusion_plus_confidence,confidence_uncertainty,1.3646896098372434,standardized_logistic_coefficient,10.0
nonlinear_fusion,deterministic_reference_variance,0.005224636805427419,random_forest_importance,
nonlinear_fusion,deterministic_reference_step,0.05965668772426119,random_forest_importance,
nonlinear_fusion,deterministic_hidden_step,0.04379577282839208,random_forest_importance,
nonlinear_fusion,stochastic_mutual_information,0.02515878732439267,random_forest_importance,
nonlinear_fusion,stochastic_predictive_entropy,0.0770776266449647,random_forest_importance,
nonlinear_fusion,stochastic_class_disagreement,0.04399691080669966,random_forest_importance,
nonlinear_fusion,stochastic_score_variance,0.2617380128687881,random_forest_importance,
nonlinear_fusion,stochastic_box_variance,0.005252503046243292,random_forest_importance,
nonlinear_fusion,stochastic_pairwise_iou_loss,0.3200868918536626,random_forest_importance,
nonlinear_fusion,stochastic_embedding_variance,0.08164686703832356,random_forest_importance,
nonlinear_fusion,stochastic_embedding_cosine_instability,0.07588677605993581,random_forest_importance,
nonlinear_fusion,stochastic_absence_rate,0.0004785269989087687,random_forest_importance,
