score_threshold,rows,method,auprc,aurc,auroc,error_prevalence,n,risk_at_0.50,risk_at_0.80,risk_at_0.90,risk_at_1.00
0.05,422843,confidence,0.9912335626270516,0.7943012027760278,0.9143525633945312,0.9323602377241671,422843,0.8709263936581813,0.9164437218239598,0.9252231585641123,0.9323602377241671
0.05,422843,deterministic_fixed,0.9776039968592376,0.8579739682318193,0.7870417645025207,0.9323602377241671,422843,0.8833896188665323,0.9181996896016554,0.9259326411936125,0.9323602377241671
0.05,422843,equal_fixed_fusion,0.9774296759793772,0.8426127083125909,0.7952130859121409,0.9323602377241671,422843,0.8843024850772389,0.9186046855369152,0.9261086979942663,0.9323602377241671
0.05,422843,learned_deterministic,0.9791638379602374,0.863102725830979,0.7896402980191489,0.9323602377241671,422843,0.882032144242321,0.9173896977311359,0.9253781936572253,0.9323602377241671
0.05,422843,learned_fusion,0.9874247105419716,0.8137416348296312,0.8775736007084667,0.9323602377241671,422843,0.8752022022306098,0.9167984627891509,0.9253256393883734,0.9323602377241671
0.05,422843,learned_fusion_plus_confidence,0.991264504294443,0.7959596277695365,0.915787239675891,0.9323602377241671,422843,0.8716358751690931,0.916517626191708,0.9251995091431289,0.9323602377241671
0.05,422843,learned_stochastic,0.9842758130847858,0.8176426560448806,0.8518224180457284,0.9323602377241671,422843,0.8787165006479931,0.9172418889956396,0.9254727913411587,0.9323602377241671
0.05,422843,nonlinear_fusion,0.984181120000365,0.8144326322581991,0.8510509830937962,0.9323602377241671,422843,0.8780874270416513,0.9174163033035252,0.9255437396041087,0.9323602377241671
0.05,422843,stochastic_fixed,0.957182314507743,0.8560839481022083,0.6933579527361046,0.9323602377241671,422843,0.9055017926232842,0.9256374251718277,0.9296035568729158,0.9323602377241671
0.10,152317,confidence,0.9572377654264449,0.6142112103598617,0.8585928078655032,0.8272550010832671,152317,0.6919471106500873,0.7901997472384985,0.8106444129962214,0.8272550010832671
0.10,152317,deterministic_fixed,0.9168066994965323,0.7280714964903076,0.7091648497252658,0.8272550010832671,152317,0.7392691605719612,0.7950826398805128,0.8117750900894329,0.8272550010832671
0.10,152317,equal_fixed_fusion,0.922058015458641,0.6911129829066306,0.7387799462344038,0.8272550010832671,152317,0.7329665568087816,0.7963792735568795,0.8122638343813373,0.8272550010832671
0.10,152317,learned_deterministic,0.9198856079505711,0.732472802725878,0.7100391710483529,0.8272550010832671,152317,0.73760159665962,0.7936957342393356,0.8108048961965482,0.8272550010832671
0.10,152317,learned_fusion,0.9512535212143305,0.6346369458395059,0.8305739311092359,0.8272550010832671,152317,0.7024645806798934,0.7903802911681193,0.8099368279765986,0.8272550010832671
0.10,152317,learned_fusion_plus_confidence,0.9665426172663142,0.6008321398825966,0.8819444104788199,0.8272550010832671,152317,0.684830420567497,0.7880168069985393,0.809353252702683,0.8272550010832671
0.10,152317,learned_stochastic,0.9408183207187814,0.6435009514063335,0.8044210944130805,0.8272550010832671,152317,0.7145708320750009,0.793162308992729,0.8110383263061144,0.8272550010832671
0.10,152317,nonlinear_fusion,0.9544812506289491,0.6217269633937552,0.839585620634121,0.8272550010832671,152317,0.6990375398836645,0.7896252892806145,0.8096377456487168,0.8272550010832671
0.10,152317,stochastic_fixed,0.8815100246272771,0.6950658129637385,0.677609406507285,0.8272550010832671,152317,0.7700731364645019,0.812578987969209,0.8208132121442014,0.8272550010832671
0.20,47805,confidence,0.7834117786759655,0.3486603509348329,0.7737024494047728,0.5685179374542412,47805,0.36815462494247586,0.5034515218073423,0.5385241138872748,0.5685179374542412
0.20,47805,deterministic_fixed,0.6851554142193512,0.48483895210051886,0.6207873997553259,0.5685179374542412,47805,0.4852110613730494,0.5269061813617822,0.5444741429401511,0.5685179374542412
0.20,47805,equal_fixed_fusion,0.7203538695728775,0.41950525154446966,0.6805096782217892,0.5685179374542412,47805,0.4431242940216709,0.5186695952306244,0.5428471818710052,0.5685179374542412
0.20,47805,learned_deterministic,0.6951917846387303,0.4889883745602465,0.6224316175641095,0.5685179374542412,47805,0.48747019202610553,0.521101349231252,0.5411272515979082,0.5685179374542412
0.20,47805,learned_fusion,0.8067234318216439,0.3592232445827871,0.7754978060084367,0.5685179374542412,47805,0.36501694347989794,0.49503190042882544,0.5319465427077281,0.5685179374542412
0.20,47805,learned_fusion_plus_confidence,0.8494950288332752,0.3173640013385661,0.826180999526069,0.5685179374542412,47805,0.3258586788269255,0.48352682773768435,0.5285531667635096,0.5685179374542412
0.20,47805,learned_stochastic,0.783838779283285,0.3676004111030561,0.7562182620972764,0.5685179374542412,47805,0.3837175249968623,0.5016211693337517,0.5352004648460198,0.5685179374542412
0.20,47805,nonlinear_fusion,0.8395752698240679,0.3138261300915504,0.8186586619565659,0.5685179374542412,47805,0.3426348157135088,0.48744901160966425,0.5290412550842534,0.5685179374542412
0.20,47805,stochastic_fixed,0.6791788529166864,0.4052338427357015,0.6694318610850735,0.5685179374542412,47805,0.4608626532234448,0.5374699299236482,0.5525392213829169,0.5685179374542412
0.30,22421,confidence,0.5324729667500908,0.20899550221502586,0.7093204202660575,0.3492707729360867,22421,0.2047096601552047,0.29101856497742096,0.32092769711085783,0.3492707729360867
0.30,22421,deterministic_fixed,0.41236541228317103,0.3081003480333638,0.5629594083513189,0.3492707729360867,22421,0.31255017393631257,0.32803701845347605,0.33653798503394616,0.3492707729360867
0.30,22421,equal_fixed_fusion,0.47356607930086125,0.24446415380804332,0.6450642203456869,0.3492707729360867,22421,0.2559093747212559,0.31047555332552823,0.3274691510976758,0.3492707729360867
