method,bins,ece
capacity_control_product,10,0.009244838118402437
capacity_control_product,15,0.00927302689749214
capacity_control_product,20,0.010759212196024246
confidence,10,0.008140455241465318
confidence,15,0.009551712783551172
confidence,20,0.010025140284768799
direct_spatial_fusion,10,0.008268672810334788
direct_spatial_fusion,15,0.008491245586069299
direct_spatial_fusion,20,0.00997262319201651
equal_fusion,10,0.005697899824255988
equal_fusion,15,0.007824990283517701
equal_fusion,20,0.0099766228497963
learned_spatial_quality,10,0.0035176261776970084
learned_spatial_quality,15,0.007173889489051255
learned_spatial_quality,20,0.008221163755901824
product_fusion,10,0.006025329545691763
product_fusion,15,0.008504693076147828
product_fusion,20,0.008890302816856956
spatial_agreement,10,0.006063511161929412
spatial_agreement,15,0.007502355166614574
spatial_agreement,20,0.0072417660932470465
