method,target,parameter,standardized_logistic_coefficient,selected_regularization,selection_auroc
learned_spatial_quality,is_well_localized,spatial_reference_iou_mean,0.2699388095480159,0.01,0.7412011931505573
learned_spatial_quality,is_well_localized,spatial_reference_iou_std,0.8842460176563042,0.01,0.7412011931505573
learned_spatial_quality,is_well_localized,spatial_pairwise_iou_loss,-1.252966934507304,0.01,0.7412011931505573
learned_spatial_quality,is_well_localized,spatial_box_variance,-0.0019672759228761046,0.01,0.7412011931505573
learned_spatial_quality,is_well_localized,spatial_absence_rate,-0.046975547947805056,0.01,0.7412011931505573
learned_spatial_quality,is_well_localized,deterministic_reference_variance,0.045328014510836886,0.01,0.7412011931505573
learned_spatial_quality,is_well_localized,deterministic_reference_step,-0.14775352222372828,0.01,0.7412011931505573
learned_spatial_quality,is_well_localized,bbox_area_fraction,-0.10986180740422608,0.01,0.7412011931505573
equal_fusion,is_well_localized,spatial_reference_iou_mean,0.2699388095480159,0.01,0.7412011931505573
equal_fusion,is_well_localized,spatial_reference_iou_std,0.8842460176563042,0.01,0.7412011931505573
equal_fusion,is_well_localized,spatial_pairwise_iou_loss,-1.252966934507304,0.01,0.7412011931505573
equal_fusion,is_well_localized,spatial_box_variance,-0.0019672759228761046,0.01,0.7412011931505573
equal_fusion,is_well_localized,spatial_absence_rate,-0.046975547947805056,0.01,0.7412011931505573
equal_fusion,is_well_localized,deterministic_reference_variance,0.045328014510836886,0.01,0.7412011931505573
equal_fusion,is_well_localized,deterministic_reference_step,-0.14775352222372828,0.01,0.7412011931505573
equal_fusion,is_well_localized,bbox_area_fraction,-0.10986180740422608,0.01,0.7412011931505573
product_fusion,is_well_localized,spatial_reference_iou_mean,0.2699388095480159,0.01,0.7412011931505573
product_fusion,is_well_localized,spatial_reference_iou_std,0.8842460176563042,0.01,0.7412011931505573
product_fusion,is_well_localized,spatial_pairwise_iou_loss,-1.252966934507304,0.01,0.7412011931505573
product_fusion,is_well_localized,spatial_box_variance,-0.0019672759228761046,0.01,0.7412011931505573
product_fusion,is_well_localized,spatial_absence_rate,-0.046975547947805056,0.01,0.7412011931505573
product_fusion,is_well_localized,deterministic_reference_variance,0.045328014510836886,0.01,0.7412011931505573
product_fusion,is_well_localized,deterministic_reference_step,-0.14775352222372828,0.01,0.7412011931505573
product_fusion,is_well_localized,bbox_area_fraction,-0.10986180740422608,0.01,0.7412011931505573
capacity_control_product,is_well_localized,semantic_mutual_information,0.15266661382716837,10.0,0.7909756991255186
capacity_control_product,is_well_localized,semantic_predictive_entropy,0.4769583113219411,10.0,0.7909756991255186
capacity_control_product,is_well_localized,semantic_class_disagreement,-0.11290432087872389,10.0,0.7909756991255186
capacity_control_product,is_well_localized,semantic_score_variance,-0.28472881209806633,10.0,0.7909756991255186
capacity_control_product,is_well_localized,representation_embedding_variance,-1.093253596119295,10.0,0.7909756991255186
capacity_control_product,is_well_localized,representation_embedding_cosine_instability,1.3326430901082764,10.0,0.7909756991255186
capacity_control_product,is_well_localized,deterministic_hidden_step,-0.0053330542460955374,10.0,0.7909756991255186
capacity_control_product,is_well_localized,mc_score_mean,1.7354519428783033,10.0,0.7909756991255186
direct_spatial_fusion,is_error,score,-1.0313555536108672,0.1,0.8120629356528322
direct_spatial_fusion,is_error,spatial_reference_iou_mean,0.010256200855474294,0.1,0.8120629356528322
direct_spatial_fusion,is_error,spatial_reference_iou_std,-0.7263743504145934,0.1,0.8120629356528322
direct_spatial_fusion,is_error,spatial_pairwise_iou_loss,1.2801351147146776,0.1,0.8120629356528322
direct_spatial_fusion,is_error,spatial_box_variance,-0.011991652339963106,0.1,0.8120629356528322
direct_spatial_fusion,is_error,spatial_absence_rate,0.06846286446502982,0.1,0.8120629356528322
direct_spatial_fusion,is_error,deterministic_reference_variance,-0.14421621697585266,0.1,0.8120629356528322
direct_spatial_fusion,is_error,deterministic_reference_step,0.41812460742609087,0.1,0.8120629356528322
direct_spatial_fusion,is_error,bbox_area_fraction,0.15374879841734773,0.1,0.8120629356528322
