score_threshold,rows,status,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
0.05,422843,estimable,capacity_control_product,0.9920402524748071,0.7916862709058535,0.918998042323956,0.038009803545707876,0.0005912359906632013,0.008383726347604193,0.02952869031768292,0.01321505849146618,0.9323602377241671,422843,0.22836716693544842,0.870670980314253,0.9050173822852722,0.9161894907989062,0.9250260800559177,0.9323602377241671
0.05,422843,estimable,confidence,0.9912335626270516,0.7943012027760278,0.9143525633945312,0.04011775872326455,0.0004800836244185194,0.0027456999406399066,0.02557213906816478,0.019937854300100793,0.9323602377241671,422843,0.3673390950349141,0.8709263936581813,0.9053079316600843,0.9164437218239598,0.9252231585641123,0.9323602377241671
0.05,422843,estimable,direct_spatial_fusion,0.989867594358485,0.7977484701480175,0.9042408006344225,0.04158542980298705,0.0,0.0,0.023661264346341315,0.04956850489129866,0.9323602377241671,422843,0.1847884026027137,0.8738589172366168,0.9060309266160119,0.9167452516443721,0.9252783405464068,0.9323602377241671
0.05,422843,estimable,equal_fusion,0.987986837471268,0.7982203508630189,0.8872660722471609,0.04473914427411899,0.0030838869272992574,0.012945703251561455,0.03118651603550254,0.06184669596462029,0.9323602377241671,422843,0.21051398948272376,0.8760015513995705,0.9065545911868942,0.9168221121868303,0.9253046176808327,0.9323602377241671
0.05,422843,estimable,learned_spatial_quality,0.9826577160680054,0.8348481555857243,0.8320919033706846,0.08395774350023742,0.0,0.0,0.0,0.1634615220597064,0.9323602377241671,422843,0.31672421916921745,0.8795394992006508,0.907669489950708,0.9174842953218535,0.9254911853352569,0.9323602377241671
0.05,422843,estimable,product_fusion,0.989399172363803,0.7934669857815331,0.9033075903158287,0.043484996952854175,0.002941990289540089,0.012259869502392141,0.03169024909954759,0.06808725581612292,0.9323602377241671,422843,0.1905841832483766,0.8743839335546916,0.9065714835924066,0.916987657970586,0.9254018430782086,0.9323602377241671
0.05,422843,estimable,spatial_agreement,0.9785749127894245,0.8488842022811163,0.7971332212340517,0.10304184197837356,0.0,0.0,0.0,0.20660229740902064,0.9323602377241671,422843,0.364946035246579,0.8838720662939524,0.909054667202719,0.9180903111373883,0.9257539566795162,0.9323602377241671
0.10,152317,estimable,capacity_control_product,0.9637330250027429,0.6069164356824803,0.8713185577497811,0.09049281020330782,0.0016413138389017642,0.023273830235627013,0.0819737783701097,0.02249639517204389,0.8272550010832671,152317,0.4001545480151541,0.6892159823527094,0.7627506518354561,0.7882383836394373,0.8092657164115956,0.8272550010832671
0.10,152317,estimable,confidence,0.9572377654264449,0.6142112103598617,0.8585928078655032,0.09634193103605408,0.0013327468371882325,0.0076222614678597925,0.0709901061601791,0.040321232550652224,0.8272550010832671,152317,0.7775390612466002,0.6919471106500873,0.7653392358049933,0.7901997472384985,0.8106444129962214,0.8272550010832671
0.10,152317,estimable,direct_spatial_fusion,0.9608849421770312,0.6064712936641358,0.868690053345381,0.09034733995338448,0.0,0.022177432591240637,0.08591293158347393,0.03481841420232121,0.8272550010832671,152317,0.3136209667120005,0.6910673722081435,0.7650672469096435,0.789953550970834,0.8099076492129028,0.8272550010832671
0.10,152317,estimable,equal_fusion,0.9549770343362877,0.6107593128771569,0.8525401961600576,0.09444142161845484,0.008561092983711601,0.03593820781659303,0.0910010044840694,0.05577561196080863,0.8272550010832671,152317,0.35085434861034537,0.6996546698354758,0.7679653354842341,0.7910942603443465,0.810286973140948,0.8272550010832671
0.10,152317,estimable,learned_spatial_quality,0.9382620447746379,0.6605968318631907,0.7916802142757635,0.13289907727302855,0.0,0.0,0.0,0.13479082622240546,0.8272550010832671,152317,0.43177413076752885,0.7144920495279612,0.7724297049389431,0.7934577445139265,0.8113155245612244,0.8272550010832671
0.10,152317,estimable,product_fusion,0.9573694597502637,0.6072892276138907,0.8621273972161962,0.09235546409458942,0.008167177662375178,0.03403428376346698,0.08797442176513455,0.047180575846169144,0.8272550010832671,152317,0.3236935136463151,0.6939035439015744,0.7672806737821463,0.7912665977317117,0.8107465386691566,0.8272550010832671
0.10,152317,estimable,spatial_agreement,0.9271591096227366,0.6799431457964772,0.7599744542175225,0.14706425628167644,0.0,0.0,0.0,0.16062765432889117,0.8272550010832671,152317,0.46881638347604637,0.7267164747436284,0.7770628950873179,0.7957555763454626,0.8122857184541091,0.8272550010832671
0.20,47805,estimable,capacity_control_product,0.8307567213071299,0.33161841049791646,0.8045555430598303,0.17674554665767853,0.005229578495973225,0.07415542307290032,0.2611860684028867,0.00927302689749214,0.5685179374542412,47805,0.5311618568139963,0.34497761787223363,0.44746593354052117,0.49022068821253006,0.5287855897733875,0.5685179374542412
0.20,47805,estimable,confidence,0.7834117786759655,0.3486603509348329,0.7737024494047728,0.18804549830807665,0.004246417738730258,0.024286162535299655,0.22618972910783391,0.009551712783551172,0.5685179374542412,47805,0.5606324344839984,0.36815462494247586,0.4633934974898398,0.5034515218073423,0.5385241138872748,0.5685179374542412
0.20,47805,estimable,direct_spatial_fusion,0.8311035323352383,0.32684967212637056,0.8110495924080396,0.1737219662980761,0.008827528501202803,0.08032632569814872,0.2760380713314507,0.008491245586069299,0.5685179374542412,47805,0.5249771093761365,0.3368614818223654,0.44352139612718144,0.4901683924275703,0.5306682161533992,0.5685179374542412
0.20,47805,estimable,equal_fusion,0.8209195438076224,0.3250219095019285,0.8063170823614842,0.17416536254861484,0.02727748143499634,0.11450685074782972,0.2904717079803368,0.007824990283517701,0.5685179374542412,47805,0.5265310171917376,0.34267665146634313,0.4506335166148697,0.49492730885890596,0.532760023242301,0.5685179374542412
0.20,47805,estimable,learned_spatial_quality,0.7767215154649032,0.3763423845586778,0.7497728409519415,0.19916762683190373,0.0,0.0,0.1434996339295053,0.007173889489051255,0.5685179374542412,47805,0.584920039234699,0.3871062209764465,0.46916088931388955,0.5036868528396611,0.536199883788495,0.5685179374542412
0.20,47805,estimable,product_fusion,0.8194295715390101,0.32609319263934833,0.8056022151356719,0.1749156944163177,0.026022382595962765,0.10844053969250078,0.2803054073841648,0.008504693076147828,0.5685179374542412,47805,0.5276668542274864,0.3434296950173618,0.4491692565144633,0.49393368894467105,0.5331551423590936,0.5685179374542412
0.20,47805,estimable,spatial_agreement,0.7506573222597477,0.39228483842138573,0.7245658721246548,0.2074880846029864,0.0,0.0,0.03880347244012133,0.007502355166614574,0.5685179374542412,47805,0.6052102696826189,0.4049700874367234,0.4809048529763328,0.5116096642610606,0.5393375944218478,0.5685179374542412
0.30,22421,estimable,capacity_control_product,0.6186094816830344,0.1906656002329411,0.7496670628297634,0.18772392559856757,0.011150260916105437,0.1581106997903751,0.5568886311939699,0.016435943423867786,0.3492707729360867,22421,0.5581196215311286,0.18374810454018375,0.2414144632048423,0.27022356023861294,0.3040784974478418,0.3492707729360867
0.30,22421,estimable,confidence,0.5324729667500908,0.20899550221502586,0.7093204202660575,0.20036555283257648,0.009054011863877614,0.05178181169439365,0.48227108514339234,0.009026871388711614,0.3492707729360867,22421,0.5863583654033055,0.2047096601552047,0.2621854093660401,0.29101856497742096,0.32092769711085783,0.3492707729360867
0.30,22421,estimable,direct_spatial_fusion,0.6174210326325047,0.18524319862051822,0.7571833320219311,0.18553002027220908,0.03251416083136345,0.17158021497703047,0.5887337763703671,0.01382656845700376,0.3492707729360867,22421,0.5523804750937275,0.17964499152617963,0.23211213762344696,0.2673245247254279,0.3060111997621289,0.3492707729360867
0.30,22421,estimable,equal_fusion,0.6156402887826544,0.17707241489752687,0.7665583760574768,0.18453189946860354,0.05815976093840596,0.24414611301904465,0.6156282057000134,0.029561221020525896,0.3492707729360867,22421,0.5489078762876528,0.1659084827401659,0.2319209939471169,0.26983330545799183,0.3096783785123148,0.3492707729360867
0.30,22421,estimable,learned_spatial_quality,0.5620021452908649,0.21023147327734473,0.7236045491158363,0.21582592660710748,0.0,0.0,0.5167030908523259,0.1337782121933539,0.3492707729360867,22421,0.6224649105008926,0.19507626438319509,0.25237336731443133,0.284774488487484,0.31537737251598197,0.3492707729360867
0.30,22421,estimable,product_fusion,0.610418082634028,0.17898896150830798,0.7630328454187584,0.18492791346073273,0.05548369831854066,0.23121181035636235,0.5976539851032514,0.02041637024255289,0.3492707729360867,22421,0.5504170862806489,0.17126036928017127,0.2300095571838165,0.268941294530858,0.3094305961643293,0.3492707729360867
0.30,22421,estimable,spatial_agreement,0.5352665204126131,0.21485962779106527,0.7084283224726179,0.2220138364371211,0.0,0.0,0.4924401230988805,0.14224421448175234,0.3492707729360867,22421,0.6370312285573878,0.20194451877620195,0.26390570245301054,0.29369459775882256,0.3209772535804549,0.3492707729360867
