method,bins,ece
capacity_control_product,10,0.05120540830862412
capacity_control_product,15,0.055584243354423114
capacity_control_product,5,0.04694876599814233
confidence,10,0.0629638285170967
confidence,15,0.08050422264421941
confidence,5,0.053391225057634356
direct_spatial_fusion,10,0.06949798714019896
direct_spatial_fusion,15,0.07223182463000342
direct_spatial_fusion,5,0.06949797338358527
equal_fusion,10,0.11296409554698629
equal_fusion,15,0.11825510083799154
equal_fusion,5,0.08924439671900228
learned_spatial_quality,10,0.18043309703583535
learned_spatial_quality,15,0.18043309703583532
learned_spatial_quality,5,0.18043309703583532
product_fusion,10,0.1304896319558058
product_fusion,15,0.13048963195580576
product_fusion,5,0.13048963195580582
spatial_agreement,10,0.13567332022593298
spatial_agreement,15,0.14201750111271244
spatial_agreement,5,0.12556682084413565
