method,target,parameter,standardized_logistic_coefficient,selected_regularization,selection_auroc
learned_spatial_quality,is_well_localized,spatial_reference_iou_mean,0.09249510235342666,0.01,0.6756410256410257
learned_spatial_quality,is_well_localized,spatial_reference_iou_std,-0.01961606245377672,0.01,0.6756410256410257
learned_spatial_quality,is_well_localized,spatial_pairwise_iou_loss,-0.07348130221561464,0.01,0.6756410256410257
learned_spatial_quality,is_well_localized,spatial_box_variance,-0.017296676072908537,0.01,0.6756410256410257
learned_spatial_quality,is_well_localized,spatial_absence_rate,-0.03891639111901016,0.01,0.6756410256410257
learned_spatial_quality,is_well_localized,deterministic_reference_variance,-0.07659794234264544,0.01,0.6756410256410257
learned_spatial_quality,is_well_localized,deterministic_reference_step,-0.09809998268014412,0.01,0.6756410256410257
learned_spatial_quality,is_well_localized,bbox_area_fraction,-0.06928691597578676,0.01,0.6756410256410257
equal_fusion,is_well_localized,spatial_reference_iou_mean,0.09249510235342666,0.01,0.6756410256410257
equal_fusion,is_well_localized,spatial_reference_iou_std,-0.01961606245377672,0.01,0.6756410256410257
equal_fusion,is_well_localized,spatial_pairwise_iou_loss,-0.07348130221561464,0.01,0.6756410256410257
equal_fusion,is_well_localized,spatial_box_variance,-0.017296676072908537,0.01,0.6756410256410257
equal_fusion,is_well_localized,spatial_absence_rate,-0.03891639111901016,0.01,0.6756410256410257
equal_fusion,is_well_localized,deterministic_reference_variance,-0.07659794234264544,0.01,0.6756410256410257
equal_fusion,is_well_localized,deterministic_reference_step,-0.09809998268014412,0.01,0.6756410256410257
equal_fusion,is_well_localized,bbox_area_fraction,-0.06928691597578676,0.01,0.6756410256410257
product_fusion,is_well_localized,spatial_reference_iou_mean,0.09249510235342666,0.01,0.6756410256410257
product_fusion,is_well_localized,spatial_reference_iou_std,-0.01961606245377672,0.01,0.6756410256410257
product_fusion,is_well_localized,spatial_pairwise_iou_loss,-0.07348130221561464,0.01,0.6756410256410257
product_fusion,is_well_localized,spatial_box_variance,-0.017296676072908537,0.01,0.6756410256410257
product_fusion,is_well_localized,spatial_absence_rate,-0.03891639111901016,0.01,0.6756410256410257
product_fusion,is_well_localized,deterministic_reference_variance,-0.07659794234264544,0.01,0.6756410256410257
product_fusion,is_well_localized,deterministic_reference_step,-0.09809998268014412,0.01,0.6756410256410257
product_fusion,is_well_localized,bbox_area_fraction,-0.06928691597578676,0.01,0.6756410256410257
capacity_control_product,is_well_localized,semantic_mutual_information,1.3423155846346253,10.0,0.7589743589743589
capacity_control_product,is_well_localized,semantic_predictive_entropy,-0.09082719094418118,10.0,0.7589743589743589
capacity_control_product,is_well_localized,semantic_class_disagreement,-0.2598049839262094,10.0,0.7589743589743589
capacity_control_product,is_well_localized,semantic_score_variance,-1.473117671966899,10.0,0.7589743589743589
capacity_control_product,is_well_localized,representation_embedding_variance,0.8070719267276782,10.0,0.7589743589743589
capacity_control_product,is_well_localized,representation_embedding_cosine_instability,-0.3181733775118381,10.0,0.7589743589743589
capacity_control_product,is_well_localized,deterministic_hidden_step,-0.23052386572915826,10.0,0.7589743589743589
capacity_control_product,is_well_localized,mc_score_mean,1.5269477353149459,10.0,0.7589743589743589
direct_spatial_fusion,is_error,score,-0.6408278649986364,1.0,0.7474358974358974
direct_spatial_fusion,is_error,spatial_reference_iou_mean,-1.2062107102178805,1.0,0.7474358974358974
direct_spatial_fusion,is_error,spatial_reference_iou_std,-0.8670258559797835,1.0,0.7474358974358974
direct_spatial_fusion,is_error,spatial_pairwise_iou_loss,0.10057970030015669,1.0,0.7474358974358974
direct_spatial_fusion,is_error,spatial_box_variance,0.27791883419525276,1.0,0.7474358974358974
direct_spatial_fusion,is_error,spatial_absence_rate,0.02158784091007306,1.0,0.7474358974358974
direct_spatial_fusion,is_error,deterministic_reference_variance,0.3513891069892345,1.0,0.7474358974358974
direct_spatial_fusion,is_error,deterministic_reference_step,0.14291412489909064,1.0,0.7474358974358974
direct_spatial_fusion,is_error,bbox_area_fraction,0.3341259414820553,1.0,0.7474358974358974
