score_threshold,rows,status,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
0.05,1521,estimable,capacity_control_product,0.994563788032729,0.7910835215689282,0.9383977180586123,0.03219311312321038,0.01775147928994083,0.020381328073635765,0.030243261012491782,0.01754979519350143,0.9362261669953977,1521,0.24150556948743648,0.8777923784494087,0.9098591549295775,0.9202958093672966,0.929145361577794,0.9362261669953977
0.05,1521,estimable,confidence,0.9964236250320089,0.7869715743075114,0.9557873856133442,0.032391913544271456,0.0190664036817883,0.021696252465483234,0.030243261012491782,0.018550404260195726,0.9362261669953977,1521,0.2505175419700837,0.873850197109067,0.9089201877934272,0.9202958093672966,0.929145361577794,0.9362261669953977
0.05,1521,estimable,direct_spatial_fusion,0.9950312229729903,0.7905098448003877,0.9410401946021081,0.03154731071530636,0.009204470742932281,0.026298487836949377,0.03747534516765286,0.02054703954387134,0.9362261669953977,1521,0.25069146475834564,0.8777923784494087,0.9089201877934272,0.9202958093672966,0.929145361577794,0.9362261669953977
0.05,1521,estimable,equal_fusion,0.9962479590113723,0.7868054584096207,0.9536589250550214,0.03151578616471409,0.018408941485864562,0.023011176857330704,0.03616042077580539,0.0224152944389948,0.9362261669953977,1521,0.24753730392094334,0.8764783180026281,0.9089201877934272,0.9202958093672966,0.929145361577794,0.9362261669953977
0.05,1521,estimable,learned_spatial_quality,0.9900549034338211,0.820954474013782,0.8793655160430904,0.0838276680969777,0.0013149243918474688,0.013149243918474688,0.017094017094017096,0.11101531840926382,0.9362261669953977,1521,0.45432543254285895,0.8804204993429697,0.9098591549295775,0.9202958093672966,0.929145361577794,0.9362261669953977
0.05,1521,estimable,product_fusion,0.9968427123135521,0.7854204268847994,0.9595809683771575,0.033155383794677265,0.0190664036817883,0.023668639053254437,0.03418803418803419,0.024761608967552584,0.9362261669953977,1521,0.3041391082583647,0.873850197109067,0.9089201877934272,0.9202958093672966,0.929145361577794,0.9362261669953977
0.05,1521,estimable,spatial_agreement,0.9860983468862952,0.8484050875873369,0.8374189157882546,0.0891294224368262,0.0,0.0,0.0,0.11915382671799606,0.9362261669953977,1521,0.4640011805056492,0.885676741130092,0.9107981220657277,0.9202958093672966,0.929145361577794,0.9362261669953977
0.10,572,estimable,capacity_control_product,0.972854021677067,0.6017758554047266,0.9009614528621027,0.07936657049495709,0.0472027972027972,0.05419580419580419,0.08041958041958042,0.038194368781751295,0.8356643356643356,572,0.5537923803412244,0.6923076923076923,0.773067331670823,0.7991266375545851,0.8194174757281554,0.8356643356643356
0.10,572,estimable,confidence,0.9763659080982581,0.5976181398040434,0.9114439597614173,0.08088828863781013,0.050699300699300696,0.057692307692307696,0.08041958041958042,0.04408262199258321,0.8356643356643356,572,0.5816132863322352,0.6888111888111889,0.770573566084788,0.7991266375545851,0.8194174757281554,0.8356643356643356
0.10,572,estimable,direct_spatial_fusion,0.972362809911229,0.6021524369726265,0.8961764444048784,0.07837651745849283,0.024475524475524476,0.06993006993006994,0.09965034965034965,0.04892337617152684,0.8356643356643356,572,0.5806385171939386,0.6993006993006993,0.7755610972568578,0.7991266375545851,0.8174757281553398,0.8356643356643356
0.10,572,estimable,equal_fusion,0.9778098169957822,0.5961484642821203,0.912178402919968,0.07855858628762348,0.04895104895104895,0.06118881118881119,0.09615384615384616,0.054359716331662436,0.8356643356643356,572,0.5736885624288394,0.6923076923076923,0.770573566084788,0.7969432314410481,0.8174757281553398,0.8356643356643356
0.10,572,estimable,learned_spatial_quality,0.9538743572151154,0.6438017076660295,0.8204842873675777,0.14778768038411944,0.03146853146853147,0.04020979020979021,0.07167832167832168,0.16639565374736617,0.8356643356643356,572,0.9395434081091051,0.7237762237762237,0.7780548628428927,0.7991266375545851,0.8174757281553398,0.8356643356643356
0.10,572,estimable,product_fusion,0.978930720297239,0.5941337172626655,0.9169411555239029,0.08291842544002559,0.050699300699300696,0.06293706293706294,0.09090909090909091,0.06059877996441859,0.8356643356643356,572,0.7241979057806188,0.6888111888111889,0.773067331670823,0.7969432314410481,0.8174757281553398,0.8356643356643356
