domain,status,rows,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,mce,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
reference,estimable,5089,class_localization,0.9097303555723028,0.2621160579170277,0.8930932634072535,0.13176979999061542,0.1984672823737473,0.2829632540774219,0.41854981332285324,0.018780892680586955,0.5606209471408922,0.06762914399962805,5089,0.4107134401939518,0.26168958742632614,0.3999438675273646,0.4594793713163065,0.5142981881685221,0.5606209471408922
reference,estimable,5089,class_only,0.9028652739752558,0.2721589992520398,0.8820262323123449,0.1386552633513737,0.12929848693259974,0.22597759874238554,0.3920220082530949,0.02765321071097218,0.5606209471408922,0.16305063618538507,5089,0.4306538969730143,0.26522593320235754,0.4027504911591356,0.46070726915520627,0.5145164811176599,0.5606209471408922
reference,estimable,5089,class_uncertainty,0.9075580692788868,0.2672431462012405,0.8894436512549637,0.13403597512173349,0.1342110434269994,0.24818235409707212,0.4146197681273335,0.023057831954397597,0.5606209471408922,0.27894500085038837,5089,0.416825134206333,0.26286836935166996,0.3965759191692394,0.46046168958742634,0.5147347740667977,0.5606209471408922
reference,estimable,5089,confidence_calibrated,0.7973496151191549,0.3244926264559915,0.7955589383676099,0.180337995981091,0.031833366083709964,0.12595794851640793,0.2696011004126547,0.016311216592000483,0.5606209471408922,0.05402286875461386,5089,0.5447418858499512,0.33398821218074654,0.44428852090934606,0.4899312377210216,0.5282689369133377,0.5606209471408922
reference,estimable,5089,flat_joint,0.918990320977402,0.25632192324824776,0.9051397110783803,0.12304250142031786,0.1906071919827078,0.29082334446846136,0.44271959127529964,0.013852383070663239,0.5606209471408922,0.07869684616531443,5089,0.3883261823512973,0.24675834970530452,0.39208532135840585,0.4582514734774067,0.5149530670159354,0.5606209471408922
reference,estimable,5089,localization_only,0.8101690528482095,0.34082568315740147,0.7864807593550899,0.1871184201645759,0.00019650225977598743,0.0483395559048929,0.21045392022008252,0.021257879960993823,0.5606209471408922,0.09609012945724488,5089,0.5609012940353768,0.34891944990176815,0.4392365983721583,0.48403732809430255,0.5258677144728225,0.5606209471408922
reference,estimable,5089,localization_uncertainty,0.862673702770863,0.2903321052879459,0.8497238258444334,0.1544469039465161,0.06936529770092356,0.187659658086068,0.3609746512084889,0.018704805209745327,0.5606209471408922,0.06591329226854437,5089,0.4767258738843199,0.2954813359528487,0.4201515576761156,0.47470530451866405,0.519537218947828,0.5606209471408922
reference,estimable,5089,multilevel,0.9063336019488752,0.2647124277856781,0.8902678785849499,0.1326735286639498,0.16781292984869325,0.2751031636863824,0.4108862251915897,0.014563976021774661,0.5606209471408922,0.24983481126462587,5089,0.41422480602109585,0.26286836935166996,0.4002245298905417,0.46021611001964635,0.5147347740667977,0.5606209471408922
reference,estimable,5089,raw_confidence,0.7973496151191549,0.3244926264559915,0.7955589383676099,0.2092750459224861,0.031833366083709964,0.12595794851640793,0.2696011004126547,0.13104911840753766,0.5606209471408922,0.3303158440589905,5089,0.606034600992378,0.33398821218074654,0.44428852090934606,0.4899312377210216,0.5282689369133377,0.5606209471408922
reference,estimable,5089,uncertainty_only,0.8631224595949638,0.29591671594998653,0.8452606458255347,0.15874504923278587,0.0750638632344272,0.16309687561406958,0.3375908822951464,0.016222498468686813,0.5606209471408922,0.5181632676766502,5089,0.4872622727244472,0.29823182711198426,0.42071288240246985,0.4715127701375246,0.517790875354726,0.5606209471408922
severity_0,estimable,5089,class_localization,0.9097303555723028,0.2621160579170277,0.8930932634072535,0.13176979999061542,0.1984672823737473,0.2829632540774219,0.41854981332285324,0.018780892680586955,0.5606209471408922,0.06762914399962805,5089,0.4107134401939518,0.26168958742632614,0.3999438675273646,0.4594793713163065,0.5142981881685221,0.5606209471408922
severity_0,estimable,5089,class_only,0.9028652739752558,0.2721589992520398,0.8820262323123449,0.1386552633513737,0.12929848693259974,0.22597759874238554,0.3920220082530949,0.02765321071097218,0.5606209471408922,0.16305063618538507,5089,0.4306538969730143,0.26522593320235754,0.4027504911591356,0.46070726915520627,0.5145164811176599,0.5606209471408922
severity_0,estimable,5089,class_uncertainty,0.9075580692788868,0.2672431462012405,0.8894436512549637,0.13403597512173349,0.1342110434269994,0.24818235409707212,0.4146197681273335,0.023057831954397597,0.5606209471408922,0.27894500085038837,5089,0.416825134206333,0.26286836935166996,0.3965759191692394,0.46046168958742634,0.5147347740667977,0.5606209471408922
severity_0,estimable,5089,confidence_calibrated,0.7973496151191549,0.3244926264559915,0.7955589383676099,0.180337995981091,0.031833366083709964,0.12595794851640793,0.2696011004126547,0.016311216592000483,0.5606209471408922,0.05402286875461386,5089,0.5447418858499512,0.33398821218074654,0.44428852090934606,0.4899312377210216,0.5282689369133377,0.5606209471408922
severity_0,estimable,5089,flat_joint,0.918990320977402,0.25632192324824776,0.9051397110783803,0.12304250142031786,0.1906071919827078,0.29082334446846136,0.44271959127529964,0.013852383070663239,0.5606209471408922,0.07869684616531443,5089,0.3883261823512973,0.24675834970530452,0.39208532135840585,0.4582514734774067,0.5149530670159354,0.5606209471408922
severity_0,estimable,5089,localization_only,0.8101690528482095,0.34082568315740147,0.7864807593550899,0.1871184201645759,0.00019650225977598743,0.0483395559048929,0.21045392022008252,0.021257879960993823,0.5606209471408922,0.09609012945724488,5089,0.5609012940353768,0.34891944990176815,0.4392365983721583,0.48403732809430255,0.5258677144728225,0.5606209471408922
severity_0,estimable,5089,localization_uncertainty,0.862673702770863,0.2903321052879459,0.8497238258444334,0.1544469039465161,0.06936529770092356,0.187659658086068,0.3609746512084889,0.018704805209745327,0.5606209471408922,0.06591329226854437,5089,0.4767258738843199,0.2954813359528487,0.4201515576761156,0.47470530451866405,0.519537218947828,0.5606209471408922
severity_0,estimable,5089,multilevel,0.9063336019488752,0.2647124277856781,0.8902678785849499,0.1326735286639498,0.16781292984869325,0.2751031636863824,0.4108862251915897,0.014563976021774661,0.5606209471408922,0.24983481126462587,5089,0.41422480602109585,0.26286836935166996,0.4002245298905417,0.46021611001964635,0.5147347740667977,0.5606209471408922
severity_0,estimable,5089,raw_confidence,0.7973496151191549,0.3244926264559915,0.7955589383676099,0.2092750459224861,0.031833366083709964,0.12595794851640793,0.2696011004126547,0.13104911840753766,0.5606209471408922,0.3303158440589905,5089,0.606034600992378,0.33398821218074654,0.44428852090934606,0.4899312377210216,0.5282689369133377,0.5606209471408922
severity_0,estimable,5089,uncertainty_only,0.8631224595949638,0.29591671594998653,0.8452606458255347,0.15874504923278587,0.0750638632344272,0.16309687561406958,0.3375908822951464,0.016222498468686813,0.5606209471408922,0.5181632676766502,5089,0.4872622727244472,0.29823182711198426,0.42071288240246985,0.4715127701375246,0.517790875354726,0.5606209471408922
severity_1,estimable,27531,class_localization,0.8878020203780682,0.28025073509304477,0.8687683619201267,0.14582806331670678,0.15920235371036287,0.2336275471286913,0.366750208855472,0.024175645217215942,0.5649268097780683,0.1858126180023582,27531,0.4472727823451567,0.2886096178991719,0.4144354503943545,0.4703745743473326,0.5199773993058359,0.5649268097780683
severity_1,estimable,27531,class_only,0.8932994869279507,0.28574613929880344,0.8667709179252814,0.14787648751046084,0.11234608259779884,0.19447168646253316,0.35469107551487417,0.020415402731270366,0.5649268097780683,0.0762896406744743,27531,0.4540274895118001,0.291297399389801,0.4103881278538813,0.46746878547105564,0.5185244975381387,0.5649268097780683
