method,family,coefficient_count,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,mce,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
class_localization,level_ablation,20,0.8951953328151805,0.2811398050208818,0.8747637286055789,0.14186990039130462,0.1634282236164435,0.2378968068171177,0.3673096731903736,0.015917989602306427,0.5694587508193651,0.13604011686833462,42716,0.4371478246774823,0.28762056372319506,0.417630927697144,0.4744096216311123,0.5246976199765899,0.5694587508193651
class_only,level_ablation,11,0.9003831826588112,0.28619603176666186,0.8729681745332895,0.14364892233891913,0.11824609045790804,0.2000655492087274,0.357266597996067,0.01629157323549568,0.5694587508193651,0.11692708896518533,42716,0.4425383474726173,0.2910853076130724,0.41238044277974717,0.4721856436367893,0.5233970607361166,0.5694587508193651
class_uncertainty,level_ablation,23,0.899795884076497,0.28712152726298223,0.8736891313130004,0.1434040181019645,0.09307987639292069,0.20261728626275868,0.3615038861316603,0.01568461572909089,0.5694587508193651,0.04310210588609226,42716,0.4435447256893762,0.28766738458657176,0.4124138853588389,0.4716589120065549,0.5237091949538302,0.5694587508193651
confidence_calibrated,confidence_control,0,0.7819119465418857,0.35170025202572314,0.7710927710910029,0.1901387966344071,0.003066766551175204,0.012547991384961139,0.21865343196928552,0.02712837095385632,0.5694587508193651,0.10015434810638657,42716,0.56830269329579,0.37236632643505946,0.46542037321918267,0.5049893190530536,0.539654051242034,0.5694587508193651
flat_joint,flat_capacity_control,30,0.910600487990752,0.27367135086443645,0.8911809258326733,0.13198165313860885,0.1474857196366701,0.24510721977713268,0.4039704092143459,0.012085559720801133,0.5694587508193651,0.08444624348159457,42716,0.41428965376465104,0.2723569622623841,0.40913651260785233,0.47116144324466686,0.5241253739107816,0.5694587508193651
localization_only,level_ablation,9,0.7741207444043527,0.36820889981551436,0.7506380679186271,0.19959056545996862,0.0,0.0,0.171387770390486,0.031210546998884058,0.5694587508193651,0.0854921520830399,42716,0.5899573688014815,0.39015825451821334,0.4724098722493479,0.5062476223919469,0.5375471452724672,0.5694587508193651
localization_uncertainty,level_ablation,21,0.8368091987152096,0.3151248337974146,0.8220035840176753,0.16814075633688566,0.06447232886974436,0.14467646783406685,0.29948965258919374,0.02091329777115651,0.5694587508193651,0.3811389545111359,42716,0.5104383512140023,0.3306021163030246,0.44271286201591864,0.49027009627483686,0.5321368188320978,0.5694587508193651
multilevel,primary_multilevel,32,0.8910812125139428,0.2854723280098914,0.8707540748823532,0.14428225630656197,0.128897836876112,0.21528232980616163,0.3660220994475138,0.01673001183733614,0.5694587508193651,0.13663923514556292,42716,0.44651355094264455,0.28851016012735275,0.4175974851180523,0.4754338220232347,0.5255039667056834,0.5694587508193651
raw_confidence,confidence_control,0,0.7819119465418857,0.35170025202572314,0.7710927710910029,0.21497494505618173,0.003066766551175204,0.012547991384961139,0.21865343196928552,0.11582345054633593,0.5694587508193651,0.307801510369795,42716,0.6185904418102469,0.37236632643505946,0.46542037321918267,0.5049893190530536,0.539654051242034,0.5694587508193651
uncertainty_only,level_ablation,12,0.8447303046222485,0.31956701646565455,0.8221590512764215,0.1694232411794134,0.03284483565876955,0.11314261634984549,0.28766738458657176,0.016153502617807694,0.5694587508193651,0.355377124028569,42716,0.5146329992652022,0.331210787526922,0.4382649989967226,0.4855295116027273,0.5296137339055794,0.5694587508193651
