method,family,coefficient_count,feature_count,model_sha256
class_localization,level_ablation,20,10,71b13f802f25870b339bb2720f9a6bde37e10c8e4d2f9f60f5b07a679c412268
class_only,level_ablation,11,2,50111d7334671904dbc008acbfd7ea4ad4d20785dcf40073d15a4a0924c8b42c
class_uncertainty,level_ablation,23,13,78d37cde114f62ffe10ca01eb222ad8799823532caeee6fc0d531df55226713d
confidence_calibrated,confidence_control,0,1,4e554b4d4e1e09593dfb1d8ccf74b9ce3935cd13c0ce5ef3b23f5b1dbe80dda5
flat_joint,flat_capacity_control,30,21,eeb6c3a239e407b61b839f0cab159c5d0ba6ee10818bef183e65b287c4122953
localization_only,level_ablation,9,8,aceb2a0a7ec0c7f6f34107a41b73e3d26a13536e5996c5cb9304a79d7c110ae3
localization_uncertainty,level_ablation,21,19,459555fa7bff625400981d9c1fd351d377f4edad6e27de1ebf52d1ceccb2db2e
multilevel,primary_multilevel,32,21,5639bfcb41a0d1a5b282b1611f46d35a46744f026a285957b010c05da4a0f28a
multilevel_mc02,mc_pass_sensitivity,45,21,a5a5a3258d6efbbd3e0c6621cacede6eff258f1b5739f2714582f60a74c1f05f
multilevel_mc05,mc_pass_sensitivity,32,21,f0da4bf199af817014f6e04e695c40a97eec5bcf442591e2487657357809af39
multilevel_mc10,mc_pass_sensitivity,32,21,7ae98a4ea6c3a2fa64ce949c8e524abefbe4033acb0c215c18cb92a33ce17cce
raw_confidence,confidence_control,0,1,a1c9c4be57cfbec062bdc5f86ef2e490fc019767437c5ebbaa4ca119d414385d
uncertainty_only,level_ablation,12,11,e1f93ec9a27ffd17ac74d0ec14c261de1e63de4f9f39eec29386f4bf7a0c1d9f
