domain,status,rows,method,auprc,aurc,auroc,brier,coverage_at_risk_0.05,coverage_at_risk_0.10,coverage_at_risk_0.20,ece,error_prevalence,mce,n,nll,risk_at_0.50,risk_at_0.70,risk_at_0.80,risk_at_0.90,risk_at_1.00
reference,estimable,45,class_localization,0.6474789479112419,0.28264718774909353,0.694,0.3094377027061424,0.06666666666666667,0.26666666666666666,0.28888888888888886,0.2752048334683916,0.4444444444444444,0.7536673077231353,45.0,2.3395148761456266,0.34782608695652173,0.375,0.4166666666666667,0.4146341463414634,0.4444444444444444
reference,estimable,45,class_only,0.6528418591359547,0.2600850592751931,0.73,0.26757258835839764,0.1111111111111111,0.1111111111111111,0.35555555555555557,0.22779952665412478,0.4444444444444444,0.4444443444444445,45.0,1.928826044513735,0.30434782608695654,0.34375,0.4166666666666667,0.4146341463414634,0.4444444444444444
reference,estimable,45,class_uncertainty,0.7381012165938639,0.2829730432719095,0.746,0.29014177352790804,0.022222222222222223,0.2222222222222222,0.37777777777777777,0.33478520791701183,0.4444444444444444,0.848213603036984,45.0,1.1168483199115955,0.2608695652173913,0.375,0.3333333333333333,0.3902439024390244,0.4444444444444444
reference,estimable,45,confidence_calibrated,0.5502768331533002,0.3068089878223556,0.67,0.2880377587917557,0.044444444444444446,0.044444444444444446,0.2222222222222222,0.2253390302367888,0.4444444444444444,0.7058675203840006,45.0,1.688703557841468,0.21739130434782608,0.40625,0.4444444444444444,0.4634146341463415,0.4444444444444444
reference,estimable,45,flat_joint,0.7226610385739844,0.27556198802081294,0.748,0.2591060497784871,0.022222222222222223,0.28888888888888886,0.35555555555555557,0.22421451249566213,0.4444444444444444,0.33333323333333353,45.0,2.210416768922656,0.2608695652173913,0.375,0.3888888888888889,0.3902439024390244,0.4444444444444444
reference,estimable,45,localization_only,0.6109960418929927,0.3290205815954628,0.646,0.33381871306858013,0.022222222222222223,0.022222222222222223,0.3333333333333333,0.29992621275731884,0.4444444444444444,0.843827032033839,45.0,2.733629152921454,0.34782608695652173,0.40625,0.4166666666666667,0.4146341463414634,0.4444444444444444
reference,estimable,45,localization_uncertainty,0.7116547163853446,0.29117824586704627,0.726,0.30141402070872486,0.022222222222222223,0.2222222222222222,0.35555555555555557,0.2802231994024891,0.4444444444444444,0.5544892175564492,45.0,1.1612283303095663,0.30434782608695654,0.34375,0.3611111111111111,0.3902439024390244,0.4444444444444444
reference,estimable,45,multilevel,0.7138674455785725,0.28753281722161755,0.73,0.2955257767034256,0.022222222222222223,0.24444444444444444,0.35555555555555557,0.27687473942767843,0.4444444444444444,0.8808004083350983,45.0,1.125799265687654,0.30434782608695654,0.34375,0.3611111111111111,0.3902439024390244,0.4444444444444444
reference,estimable,45,raw_confidence,0.5502768331533002,0.3068089878223556,0.67,0.28612400847284036,0.044444444444444446,0.044444444444444446,0.2222222222222222,0.24672972593042586,0.4444444444444444,0.44613027572631836,45.0,0.7752880712810604,0.21739130434782608,0.40625,0.4444444444444444,0.4634146341463415,0.4444444444444444
reference,estimable,45,uncertainty_only,0.7333389740055343,0.28478799227888746,0.742,0.2931787586709934,0.022222222222222223,0.2222222222222222,0.37777777777777777,0.2934263445596349,0.4444444444444444,0.8441311000357526,45.0,1.1257380783802526,0.30434782608695654,0.34375,0.3611111111111111,0.3902439024390244,0.4444444444444444
severity_0,estimable,45,class_localization,0.6474789479112419,0.28264718774909353,0.694,0.3094377027061424,0.06666666666666667,0.26666666666666666,0.28888888888888886,0.2752048334683916,0.4444444444444444,0.7536673077231353,45.0,2.3395148761456266,0.34782608695652173,0.375,0.4166666666666667,0.4146341463414634,0.4444444444444444
severity_0,estimable,45,class_only,0.6528418591359547,0.2600850592751931,0.73,0.26757258835839764,0.1111111111111111,0.1111111111111111,0.35555555555555557,0.22779952665412478,0.4444444444444444,0.4444443444444445,45.0,1.928826044513735,0.30434782608695654,0.34375,0.4166666666666667,0.4146341463414634,0.4444444444444444
severity_0,estimable,45,class_uncertainty,0.7381012165938639,0.2829730432719095,0.746,0.29014177352790804,0.022222222222222223,0.2222222222222222,0.37777777777777777,0.33478520791701183,0.4444444444444444,0.848213603036984,45.0,1.1168483199115955,0.2608695652173913,0.375,0.3333333333333333,0.3902439024390244,0.4444444444444444
severity_0,estimable,45,confidence_calibrated,0.5502768331533002,0.3068089878223556,0.67,0.2880377587917557,0.044444444444444446,0.044444444444444446,0.2222222222222222,0.2253390302367888,0.4444444444444444,0.7058675203840006,45.0,1.688703557841468,0.21739130434782608,0.40625,0.4444444444444444,0.4634146341463415,0.4444444444444444
severity_0,estimable,45,flat_joint,0.7226610385739844,0.27556198802081294,0.748,0.2591060497784871,0.022222222222222223,0.28888888888888886,0.35555555555555557,0.22421451249566213,0.4444444444444444,0.33333323333333353,45.0,2.210416768922656,0.2608695652173913,0.375,0.3888888888888889,0.3902439024390244,0.4444444444444444
severity_0,estimable,45,localization_only,0.6109960418929927,0.3290205815954628,0.646,0.33381871306858013,0.022222222222222223,0.022222222222222223,0.3333333333333333,0.29992621275731884,0.4444444444444444,0.843827032033839,45.0,2.733629152921454,0.34782608695652173,0.40625,0.4166666666666667,0.4146341463414634,0.4444444444444444
severity_0,estimable,45,localization_uncertainty,0.7116547163853446,0.29117824586704627,0.726,0.30141402070872486,0.022222222222222223,0.2222222222222222,0.35555555555555557,0.2802231994024891,0.4444444444444444,0.5544892175564492,45.0,1.1612283303095663,0.30434782608695654,0.34375,0.3611111111111111,0.3902439024390244,0.4444444444444444
severity_0,estimable,45,multilevel,0.7138674455785725,0.28753281722161755,0.73,0.2955257767034256,0.022222222222222223,0.24444444444444444,0.35555555555555557,0.27687473942767843,0.4444444444444444,0.8808004083350983,45.0,1.125799265687654,0.30434782608695654,0.34375,0.3611111111111111,0.3902439024390244,0.4444444444444444
severity_0,estimable,45,raw_confidence,0.5502768331533002,0.3068089878223556,0.67,0.28612400847284036,0.044444444444444446,0.044444444444444446,0.2222222222222222,0.24672972593042586,0.4444444444444444,0.44613027572631836,45.0,0.7752880712810604,0.21739130434782608,0.40625,0.4444444444444444,0.4634146341463415,0.4444444444444444
severity_0,estimable,45,uncertainty_only,0.7333389740055343,0.28478799227888746,0.742,0.2931787586709934,0.022222222222222223,0.2222222222222222,0.37777777777777777,0.2934263445596349,0.4444444444444444,0.8441311000357526,45.0,1.1257380783802526,0.30434782608695654,0.34375,0.3611111111111111,0.3902439024390244,0.4444444444444444
severity_1,estimable,89,class_localization,0.8043389316485141,0.3299566506068317,0.7698979591836734,0.20477972382845602,0.056179775280898875,0.14606741573033707,0.30337078651685395,0.0883465492192812,0.550561797752809,0.13795877073271512,89.0,1.0264859536229765,0.35555555555555557,0.4603174603174603,0.4722222222222222,0.5061728395061729,0.550561797752809
severity_1,estimable,89,class_only,0.913616594848588,0.26081562072300735,0.8923469387755103,0.15823558580360386,0.14606741573033707,0.16853932584269662,0.4606741573033708,0.14406937929754166,0.550561797752809,0.20969414536844866,89.0,0.6082581510939206,0.2222222222222222,0.38095238095238093,0.4583333333333333,0.5061728395061729,0.550561797752809
severity_1,estimable,89,class_uncertainty,0.8804118043734386,0.2887336083078884,0.8423469387755103,0.18763091899992157,0.14606741573033707,0.19101123595505617,0.24719101123595505,0.14513669189594156,0.550561797752809,0.8203341186428169,89.0,0.5306443998573983,0.3111111111111111,0.4126984126984127,0.4444444444444444,0.5061728395061729,0.550561797752809
severity_1,estimable,89,confidence_calibrated,0.7835436599087142,0.3192371252820406,0.7826530612244899,0.2220398711844714,0.12359550561797752,0.1348314606741573,0.23595505617977527,0.1187328999623138,0.550561797752809,0.4316781516663369,89.0,0.7799407796609965,0.3111111111111111,0.42857142857142855,0.5,0.5308641975308642,0.550561797752809
severity_1,estimable,89,flat_joint,0.9229888112193847,0.267553185263745,0.8928571428571429,0.14130152517825467,0.11235955056179775,0.14606741573033707,0.47191011235955055,0.0976969741763392,0.550561797752809,0.2734036440614314,89.0,0.5593451476769815,0.2222222222222222,0.38095238095238093,0.4444444444444444,0.5061728395061729,0.550561797752809
severity_1,estimable,89,localization_only,0.7383460645898625,0.4734469584614211,0.663265306122449,0.2571230394448633,0.0,0.0,0.0,0.18623601216853308,0.550561797752809,0.3666666666666668,89.0,1.9144151326492167,0.4222222222222222,0.49206349206349204,0.4861111111111111,0.5061728395061729,0.550561797752809
severity_1,estimable,89,localization_uncertainty,0.8601402394847171,0.3132812961807847,0.811734693877551,0.19840660547411104,0.0898876404494382,0.14606741573033707,0.24719101123595505,0.1378213211085271,0.550561797752809,0.5,89.0,0.7112625288859202,0.3333333333333333,0.4126984126984127,0.4444444444444444,0.5061728395061729,0.550561797752809
