method,family,coefficient_count,feature_count,model_sha256
class_localization,level_ablation,19,10,2a336fc6c4fac17640b51a3c496b10329492ba746638b0b15b69f10137d0e669
class_only,level_ablation,10,2,4a8e31a7573e7fe3b335b3548f59dc1a4bb1517f6d508ab60df26498ae977a4a
class_uncertainty,level_ablation,22,13,45424d97de826196efa29360beac1edd8217343e72cac267031a87f78184cf93
confidence_calibrated,confidence_control,0,1,6e6c28e7108b1384bbe52e56694dce4c099751fa4672d9764bd6aefacbe20234
flat_joint,flat_capacity_control,29,21,4715de006bc868fcaea4591ea60cae3750c4d62b3a34596ac30e46bf196a37f1
localization_only,level_ablation,9,8,097f9de975d925fb11ca2c4fe637e65b85fc2b760a12c46570aac5208d8f4d45
localization_uncertainty,level_ablation,21,19,4f8fe0b517994ec37273dc6c4db090c5daede858d3e8f9fa21d8b01f1cd40ecb
multilevel,primary_multilevel,31,21,af526f5e93f1a682a06b227f4ca7bb15bc651d8d50b6a413fd884cd5fe41e9d1
multilevel_mc02,mc_pass_sensitivity,31,21,31c54ec3fa5166905ca7ab3262972bba698d557aea2f91935cc7c5534e5d9b96
multilevel_mc05,mc_pass_sensitivity,31,21,ee032418ca9b797ae78be2307c53f08a0b2d2c98d8ae9401c6b8cb61a2df7f58
multilevel_mc10,mc_pass_sensitivity,31,21,9d6406ab01fe871cdb09b4a641252a487f6e133de5f21cb8545bdcd01bc34b40
raw_confidence,confidence_control,0,1,6c926117bcf8de5828760d4675cd6c78e33253b51abe53c830de30c01c0b3201
uncertainty_only,level_ablation,12,11,8a3d48b8d074680ecfc1e6dc469e2f0cb255ecf9577da9be17d12355abf9ccc3
