attribute,value,status,n,weighted_aurc,coverage_at_weighted_risk_0.10,brier
category_name,bicycle,estimable,1107,0.7551586596946277,0.029838184383481337,0.09158212038761089
category_name,bus,estimable,2396,0.7608014305145898,0.014770906191925958,0.12645742301528443
category_name,car,estimable,15712,0.10859130881948142,0.5256740149824646,0.1997731363713148
category_name,motorcycle,estimable,1964,0.8922977492290989,0.008719183684511874,0.11820457166912343
category_name,person,estimable,5483,0.44044040769939935,0.08436199478333914,0.1594781046471881
category_name,rider,estimable,1417,0.9713346318378497,0.0,0.09805739052778999
category_name,traffic light,estimable,10307,0.4653686182351991,0.0074462196207127525,0.16962954994095727
category_name,traffic sign,estimable,6419,0.22742191007847062,0.23986789704131886,0.18644173000263595
category_name,train,estimable,349,0.9904211867866219,0.0,0.07240893534963164
category_name,truck,estimable,2651,0.6251801806724667,0.015400768366969932,0.18468245915152032
criticality_tier,high,estimable,4762,0.6684056404743841,0.019877026501903317,0.1292652982188823
criticality_tier,low,estimable,24742,0.28720185020447037,0.07347728274886697,0.18145893803153848
criticality_tier,medium,estimable,18301,0.33421489625907796,0.11308959422225377,0.17176740174186114
object_size,large,estimable,7530,0.22436290411108545,0.37190410284492925,0.12593452240978126
object_size,medium,estimable,16911,0.2926089521628477,0.10441495110936683,0.17859669648566603
object_size,small,estimable,23364,0.462369083032602,0.0024612165230908714,0.18319628172220903
scene,city street,estimable,32349,0.34797111436689454,0.04602009896477194,0.17218904686573316
scene,gas stations,not_estimable,47,,,
scene,highway,estimable,9482,0.35300504729909743,0.11584980459781893,0.16760036546731416
scene,parking lot,estimable,352,0.35255684848623925,0.11128966027626792,0.16827355814388342
scene,residential,estimable,5413,0.3375586453788081,0.08880902381536808,0.18396883155695737
scene,tunnel,not_estimable,97,,,
scene,undefined,not_estimable,65,,,
timeofday,dawn/dusk,estimable,3513,0.317624205997291,0.1285259020269786,0.172449889272943
timeofday,daytime,estimable,27749,0.3313499993132696,0.11735518547455401,0.16915165465337206
timeofday,night,estimable,16436,0.3869038224479933,0.0008281019599062657,0.17870829689989734
timeofday,undefined,not_estimable,107,,,
weather,clear,estimable,23971,0.358949768604245,0.04211387295605829,0.17404523632901636
weather,foggy,not_estimable,76,,,
weather,overcast,estimable,6589,0.324633405224375,0.11558700718009027,0.1737529097500645
weather,partly cloudy,estimable,3409,0.32510070035732436,0.12138431891397512,0.1693579954701305
weather,rainy,estimable,3155,0.34510222526600676,0.14299645156078616,0.16407988930727835
weather,snowy,estimable,3849,0.35314275848474025,0.03186469856490582,0.17477095711830734
weather,undefined,estimable,6756,0.3449670418345841,0.09594318905835109,0.16999304856192
