attribute,value,status,n,weighted_aurc,coverage_at_weighted_risk_0.10,brier
category_name,bicycle,not_estimable,1,,,
category_name,bus,not_estimable,5,,,
category_name,car,estimable,77,0.10249292890090714,0.3670736232737915,0.20004936378938268
category_name,motorcycle,not_estimable,7,,,
category_name,person,not_estimable,15,,,
category_name,rider,not_estimable,4,,,
category_name,traffic light,estimable,34,0.7498894490011857,0.0,0.23345587647059
category_name,traffic sign,estimable,30,0.3459791886730347,0.05407146010535865,0.2476655463688694
category_name,truck,not_estimable,16,,,
criticality_tier,high,not_estimable,12,,,
criticality_tier,low,estimable,113,0.40342180626958973,0.012970327192926484,0.22474572922874847
criticality_tier,medium,estimable,64,0.2780697259871734,0.2089950541318188,0.1768206203332653
object_size,large,estimable,24,0.2074698162476609,0.4515308959598991,0.12239583333333624
object_size,medium,estimable,79,0.2872424862469991,0.22495773222560903,0.1957759672377526
object_size,small,estimable,86,0.5879208306692192,0.0,0.23033704293482662
scene,city street,estimable,134,0.3907074867001812,0.12896682597525758,0.2226400537526018
scene,residential,estimable,55,0.406633001800896,0.02138075608533137,0.15234581638779968
timeofday,dawn/dusk,estimable,41,0.44442602457644187,0.21040889287687844,0.15425942157918787
timeofday,daytime,estimable,137,0.3887602361554637,0.008795050984647643,0.21861788919292632
timeofday,night,not_estimable,11,,,
weather,clear,estimable,97,0.35650705091213036,0.19031648503890927,0.20099470198345418
weather,rainy,estimable,28,0.40758139744180016,0.03859068840752755,0.21874999285714497
weather,snowy,estimable,64,0.4230042362076284,0.018788247484733105,0.19673908143410163
